,dfx_feature_importance_vs_random_feature_importance_stats,dfx_feature_importance_vs_random_feature_importance_pvalue,dfx_feature_importance_vs_model_feature_importance_stats,dfx_feature_importance_vs_model_feature_importance_pvalue,dfx_feature_importance_vs_permutation_feature_importance_stats,dfx_feature_importance_vs_permutation_feature_importance_pvalue,dfx_feature_importance_vs_shap_feature_importance_stats,dfx_feature_importance_vs_shap_feature_importance_pvalue
ttest,-7.3720765468123375,7.759307769423963e-09,-0.12337502750521914,0.9024603910185152,0.5873067192906444,0.5604714706547067,-0.007984303447203831,0.9936712857244221
pearson,0.054518575057296716,0.819424994085983,0.9408571404793709,6.777010705765308e-10,0.9426082116087455,5.204404114063138e-10,0.9446362368654367,3.793155648591387e-10
spearman,0.38646616541353385,0.09234164249328174,0.5909774436090225,0.006070153699275827,0.6478695258600154,0.0020094502469375163,0.6075187969924812,0.004495101001748822
kendalltau,0.22105263157894736,0.1858830428870908,0.45263157894736844,0.004748309856126978,0.5149397122655918,0.0022226489132101193,0.4631578947368421,0.003782664567027279
