,dfx_feature_importance_vs_random_feature_importance_stats,dfx_feature_importance_vs_random_feature_importance_pvalue,dfx_feature_importance_vs_model_feature_importance_stats,dfx_feature_importance_vs_model_feature_importance_pvalue,dfx_feature_importance_vs_permutation_feature_importance_stats,dfx_feature_importance_vs_permutation_feature_importance_pvalue,dfx_feature_importance_vs_shap_feature_importance_stats,dfx_feature_importance_vs_shap_feature_importance_pvalue
ttest,-7.425170795273685,2.419757501562172e-10,-1.1288963992130607,0.2629084597761071,-0.47463969612835627,0.636564609966943,-0.900648505982312,0.370953982957284
pearson,0.19048133630250802,0.2730569094771221,-0.14416998785701934,0.40864816718290464,-0.14619026594019788,0.40204247852584984,-0.17126286396690527,0.3252626333886377
spearman,0.2408963585434174,0.16330793722252135,-0.10378878098146337,0.5529609371187802,-0.22983572300546387,0.18410977155651795,-0.16877932669725149,0.33243263389590827
kendalltau,0.16974789915966385,0.15147393814226628,-0.07401180077674939,0.5320196066143322,-0.1579050291787854,0.20747481896482622,-0.1143818739277036,0.3341468833720125
