feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Mg,0.7488370140147489,0.04006612965901315,3.9362500000000002,0.6570992807565629,0.6968560917313542
Ca,0.32151533185829645,0.004495904555477563,0.43375,0.3504612398905028,0.7841203542390035
Na,0.2849254976415808,0.009447178110317428,0.36874999999999997,0.48799710574860966,0.671903917717067
Si,0.22248024053793655,0.0016429288647627162,0.21874999999999992,0.3994595425565412,0.8031460308476106
Al,0.2024042102275263,0.017763806203405088,0.22249999999999998,0.6019847692025356,0.33563491230304454
K,0.11798687488107762,0.00034637177891765693,0.31875,0.4375860545878032,0.8536266609553476
Ba,0.08761927779711036,0.004557644607406763,0.05249999999999995,0.2836780276318348,0.4071950369125643
Fe,0.010877179098758597,0.004495904555477561,-0.016250000000000053,0.13619883047436046,0.3421286875928947
RI,8.67898019401404e-06,0.0008145717229587034,0.0,0.004029852594891651,0.03598315786785089
