,dfx_feature_importance_vs_random_feature_importance_stats,dfx_feature_importance_vs_random_feature_importance_pvalue,dfx_feature_importance_vs_model_feature_importance_stats,dfx_feature_importance_vs_model_feature_importance_pvalue,dfx_feature_importance_vs_permutation_feature_importance_stats,dfx_feature_importance_vs_permutation_feature_importance_pvalue,dfx_feature_importance_vs_shap_feature_importance_stats,dfx_feature_importance_vs_shap_feature_importance_pvalue
ttest,-3.4748242376426948,0.0021500372227794724,-0.24748579222056824,0.8068273909045749,-0.44266306095686947,0.6623312120592839,-0.3951466188789063,0.6965399635868492
pearson,0.29842462663981506,0.34610266957224645,0.9605369534731079,7.053793009363645e-07,0.9511082722336869,2.0263073602428685e-06,0.9489372714427168,2.5086879552059135e-06
spearman,0.35664335664335667,0.25513775175895725,0.7937199666293951,0.002056281011389512,0.8221942255219294,0.001029780075062212,0.7937199666293951,0.002056281011389512
kendalltau,0.2727272727272727,0.24957952123750735,0.6038596398555418,0.007801727636739823,0.699205898780101,0.0020657274310062947,0.6038596398555418,0.007801727636739823
