,dfx_feature_importance_vs_random_feature_importance_stats,dfx_feature_importance_vs_random_feature_importance_pvalue,dfx_feature_importance_vs_model_feature_importance_stats,dfx_feature_importance_vs_model_feature_importance_pvalue,dfx_feature_importance_vs_permutation_feature_importance_stats,dfx_feature_importance_vs_permutation_feature_importance_pvalue,dfx_feature_importance_vs_shap_feature_importance_stats,dfx_feature_importance_vs_shap_feature_importance_pvalue
ttest,-7.105829377261719,1.7694212618840032e-08,-0.13231672127021601,0.8954319382546043,0.13828728774916932,0.8907435969909625,-0.1057072241291187,0.9163706965204292
pearson,0.3476154531809593,0.1331546529501483,0.964884773136624,6.7872908788988075e-12,0.9775026704604152,1.292360497996504e-13,0.9641667690264489,8.122157995624129e-12
spearman,0.20751879699248119,0.37999323699324683,0.5873500636775982,0.006469985567721221,0.578313908851789,0.007560721842335046,0.578313908851789,0.007560721842335046
kendalltau,0.1473684210526316,0.38585715131512555,0.4297218286123331,0.008461608259158034,0.41911141309104094,0.010226970394205696,0.41911141309104094,0.010226970394205696
