feature_name,shap_feature_importance,dfx_feature_importance,permutation_feature_importance,model_feature_importance,random_feature_importance
Mg,0.7488370140147489,0.04158662878985691,3.741250000000001,0.6570992807565629,0.5289601188071087
Ca,0.32151533185829645,0.0088154778757748,0.43999999999999995,0.3504612398905028,0.607466944300131
Na,0.2849254976415808,-0.00398219510993716,0.39125,0.48799710574860966,0.48961860012665803
Si,0.22248024053793655,0.0020849975764488,0.205,0.3994595425565412,0.8653983494788163
Al,0.2024042102275263,0.003982195109937175,0.18124999999999997,0.6019847692025356,0.700455535740838
K,0.11798687488107762,0.0018313379160696632,0.30249999999999994,0.4375860545878032,0.5515422319699373
Ba,0.08761927779711036,0.0053980854813783985,0.06999999999999992,0.2836780276318348,0.8965702432987338
Fe,0.010877179098758597,0.0019961195814701704,0.012499999999999978,0.13619883047436046,0.17074741660055803
RI,8.67898019401404e-06,0.0005756437211578468,0.0,0.004029852594891651,0.8213432491332155
