,dfx_feature_importance_vs_random_feature_importance_stats,dfx_feature_importance_vs_random_feature_importance_pvalue,dfx_feature_importance_vs_model_feature_importance_stats,dfx_feature_importance_vs_model_feature_importance_pvalue,dfx_feature_importance_vs_permutation_feature_importance_stats,dfx_feature_importance_vs_permutation_feature_importance_pvalue,dfx_feature_importance_vs_shap_feature_importance_stats,dfx_feature_importance_vs_shap_feature_importance_pvalue
ttest,-4.258331709897027,0.0006006544020968125,-1.2351948691531522,0.23458916124177503,0.31950211833775366,0.7534795939885212,-0.18113069702643747,0.858539595435374
pearson,0.31292544993010507,0.41226836006530754,0.8907628344472143,0.0012728736033953915,0.8512707404010336,0.003600782407821809,0.8839569703475983,0.0015619296182989054
spearman,0.6333333333333333,0.06708578689234565,0.7999999999999999,0.00962792472537983,0.26666666666666666,0.4879222748387009,0.48333333333333334,0.18746985521554207
kendalltau,0.5,0.07517636684303351,0.7222222222222222,0.0058862433862433864,0.16666666666666666,0.612202380952381,0.4444444444444444,0.11943893298059964
